Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s]
MH30_7_DOE,3800,0.1016,2,0.018,0.009,10,4,1.3076,0.40204938348618113,2.0451468480572514,19.18504786491394
MH30_7_DOE,3800,0.1016,2,0.018,0.009,6,1,1.3076,0.6846047164178922,0.77305595389819,17.02047109603882
NACA2412_DOE,2300,0.0761999999999999,1,0.008,0.004,10,4,1.3064,0.9887515683171021,0.9959791062736635,13.031250476837158
NACA2412_DOE,2300,0.0761999999999999,1,0.008,0.004,6,1,1.3064,1.8603713877767447,0.49244125154798435,12.98988676071167
NACA2412_DOE,2300,0.0761999999999999,1,0.018,0.009,10,4,1.3064,0.561873383126075,1.3758923729492256,13.063074827194214
NACA2412_DOE,2300,0.0761999999999999,1,0.018,0.009,6,1,1.3064,1.0723081928229108,0.5779163693159353,13.226584434509277
NACA2412_DOE,2300,0.0761999999999999,2,0.008,0.004,10,4,1.5764,1.894759741495152,0.8492495557561265,12.964716911315918
NACA2412_DOE,2300,0.0761999999999999,2,0.008,0.004,6,1,1.5764,3.6381690421851833,0.4142495265087897,12.917467832565308
NACA2412_DOE,2300,0.0761999999999999,2,0.018,0.009,10,4,1.5764,1.0404236924910943,1.200327316899125,12.835556983947754
NACA2412_DOE,2300,0.0761999999999999,2,0.018,0.009,6,1,1.5764,2.061909412829468,0.49165610226338896,12.938706398010254
NACA2412_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.42365096750422465,2.099937498961694,17.07734513282776
NACA2412_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.6990910531025141,1.1461527205070925,16.992443084716797
NACA2412_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.26673312600812993,2.7673832071175433,19.297849416732788
NACA2412_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.4315474780089976,1.3367173714835545,17.13579797744751
NACA2412_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.7644682219471598,1.8638113633966855,16.980994939804077
NACA2412_DOE,2300,0.1016,2,0.008,0.004,6,1,1.5764,1.3151786455879408,0.989399217434279,17.237022876739502
NACA2412_DOE,2300,0.1016,2,0.018,0.009,10,4,1.5764,0.44849720489585915,2.5746044755241217,19.001044511795044
NACA2412_DOE,2300,0.1016,2,0.018,0.009,6,1,1.5764,0.7803568022546395,1.1847487059132176,16.902487993240356
