Lambda,Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,WeightedObj,ConstraintG,Flight Time [hr],Thrust to Weight,Method,WeightedObjSum,Runtime [min],Beta,NBI_t
0.4444444444444444,3800.0,3.233136099,0.1117576875934982,0.008799999999129,0.0043999999994773,10.9999999999956,3.987538884392359,8.378743876,-1.7762495806876497,-2.4941330877176875,0.6927137991802425,3.994133087717688,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117589745951823,0.0088,0.0043999999126595,10.99999999998782,3.98719509754982,8.378743876,-1.7570889603067052,-2.494137370393348,0.6927017285711257,3.9941373703933474,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117592610812464,0.0088,0.0043999999441368,10.99999999999221,3.987195272629248,8.378743876,-1.7570859556198033,-2.4941676028203585,0.6926948744870991,3.994167602820359,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117596374181103,0.0088,0.0043999999039492,10.999999999986606,3.987195505712524,8.378743876,-1.7570820102453977,-2.49420728407846,0.6926858770403199,3.99420728407846,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117597485750067,0.0088,0.004399984990918,10.999999999984952,3.987195574557264,8.378743876,-1.757081111318303,-2.4942126924122534,0.6926843827458478,3.994212692412253,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117597485750067,0.0088,0.004399984990918,10.999999999984952,3.987195574557264,8.378743876,-1.757081111318303,-2.4942126924122534,0.6926843827458478,3.994212692412253,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117597485750067,0.0088,0.004399984990918,10.999999999984952,3.987195574557264,8.378743876,-1.757081111318303,-2.4942126924122534,0.6926843827458478,3.994212692412253,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117597486437983,0.0087999850988388,0.0043999998920719,10.99999999998495,3.987195574599869,8.378743876,-1.7570808960115136,-2.4942155288693946,0.6926837890973483,3.9942155288693946,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117597486437983,0.0087999850988388,0.0043999998920719,10.99999999998495,3.987195574599869,8.378743876,-1.7570808960115136,-2.4942155288693946,0.6926837890973483,3.9942155288693946,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117597486437983,0.0087999850988388,0.0043999998920719,10.99999999998495,3.987195574599869,8.378743876,-1.7570808960115136,-2.4942155288693946,0.6926837890973483,3.9942155288693946,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117597261151926,0.0088,0.0043999998944776,10.999999999985286,3.987195560646835,8.378743876,-1.7570810804149597,-2.4942166364073977,0.6926837564952437,3.9942166364073977,Lawnmower Search,,,,
0.5555555555555556,3800.0,3.233136099,0.1117597457408306,0.0088,0.0043999998923819,10.999999999984992,3.987195572801924,8.378743876,-1.7570808746770883,-2.4942187057606646,0.6926832872920633,3.9942187057606646,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117589643272105,0.0087999999999209,0.0043999999999377,10.999999999995726,3.9875397455895287,8.378743876,-1.7762513684898225,-2.494267797897002,0.6926832589880494,3.994267797897002,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117594332753672,0.0087999999997865,0.0043999999998719,10.999999999994545,3.987540069048365,8.378743876,-1.776252026067285,-2.4943172809743577,0.6926720414637164,3.9943172809743577,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117596422298874,0.0087999999999386,0.0043999999999596,10.99999999999463,3.9875402096165744,8.378743876,-1.7762523190532162,-2.494339328410728,0.6926670434378219,3.994339328410728,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598514609796,0.0087999999999441,0.0043999850988052,10.99999999999429,3.987540352836079,8.378743876,-1.7762522399257457,-2.494355093607882,0.6926632018689537,3.994355093607882,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598514609796,0.0087999999999441,0.0043999850988052,10.99999999999429,3.987540352836079,8.378743876,-1.7762522399257457,-2.494355093607882,0.6926632018689537,3.994355093607882,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598514609796,0.0087999999999441,0.0043999850988052,10.99999999999429,3.987540352836079,8.378743876,-1.7762522399257457,-2.494355093607882,0.6926632018689537,3.994355093607882,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598052790338,0.0087999999999429,0.0043999999999649,10.999999999994364,3.987540321224356,8.378743876,-1.7762525477915982,-2.4943565330561617,0.6926631433444755,3.9943565330561617,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999850987829,0.0043999999999664,10.99999999999429,3.987540353037983,8.378743876,-1.7762523312287937,-2.4943579541559604,0.6926626028228352,3.99435795415596,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999850987829,0.0043999999999664,10.99999999999429,3.987540353037983,8.378743876,-1.7762523312287937,-2.4943579541559604,0.6926626028228352,3.99435795415596,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999850987829,0.0043999999999664,10.99999999999429,3.987540353037983,8.378743876,-1.7762523312287937,-2.4943579541559604,0.6926626028228352,3.99435795415596,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598436882195,0.0087999999999439,0.0043999999999662,10.999999999994303,3.987540347515594,8.378743876,-1.7762526016812197,-2.494360585929809,0.69266222461069,3.994360585929809,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598511549766,0.0087999999999441,0.0043999999999664,10.999999999994293,3.987540352626618,8.378743876,-1.7762526121576503,-2.494361373809968,0.6926620460087458,3.994361373809968,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598514609796,0.0087999999999441,0.0043999999999664,10.99999999999429,3.98754036773724,8.378743876,-1.7762526131635836,-2.494361412492232,0.6926620376959047,3.994361412492232,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598514609796,0.0087999999999441,0.0043999999999664,10.99999999999429,3.98754036773724,8.378743876,-1.7762526131635836,-2.494361412492232,0.6926620376959047,3.994361412492232,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598514609796,0.0087999999999441,0.0043999999999664,10.99999999999429,3.98754036773724,8.378743876,-1.7762526131635836,-2.494361412492232,0.6926620376959047,3.994361412492232,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999999999441,0.0043999999999664,10.99999998509313,3.987540353037983,8.378743876,-1.7762526128599954,-2.4943614338932747,0.6926620322990849,3.9943614338932742,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999999999441,0.0043999999999664,10.99999998509313,3.987540353037983,8.378743876,-1.7762526128599954,-2.4943614338932747,0.6926620322990849,3.9943614338932742,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999999999441,0.0043999999999664,10.99999998509313,3.987540353037983,8.378743876,-1.7762526128599954,-2.4943614338932747,0.6926620322990849,3.9943614338932742,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999999999441,0.0043999999999664,10.99999999999429,3.987540353037983,8.378743876,-1.7762526130008562,-2.494361437223005,0.692662031633858,3.994361437223005,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999999999441,0.0043999999999664,10.99999999999429,3.987540353037983,8.378743876,-1.7762526130008562,-2.494361437223005,0.692662031633858,3.994361437223005,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999999999441,0.0043999999999664,10.99999999999429,3.987540353037983,8.378743876,-1.7762526130008562,-2.494361437223005,0.692662031633858,3.994361437223005,Lawnmower Search,,,,
0.4444444444444444,3800.0,3.233136099,0.1117598517559433,0.0087999999999441,0.0043999999999664,10.99999999999429,3.987540353037983,8.378743876,-1.7762526130008562,-2.494361437223005,0.692662031633858,3.994361437223005,Lawnmower Search,,,,
