Lambda,Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,WeightedObj,ConstraintG,Flight Time [hr],Thrust to Weight
0.1,3800.0,1.0,0.11173709300024814,0.019799999997637693,0.0099,9.591531861696522,4.393350129675973,8.31667308634835,-2.965810480156212,-5.4935143562786815,0.18971007746498228,6.9935143562786815
0.1,3800.0,1.0,0.11173672353437625,0.019799999997599863,0.0099,9.588206591315302,4.3966750687646865,8.31667308634835,-2.966665231104569,-5.495574625261819,0.18968777838844,6.995574625261819
0.1,3800.0,1.0,0.11173653880162929,0.019799999997580947,0.0099,9.58654395782563,4.398337536608276,8.31667308634835,-2.9670917939964414,-5.496602799236941,0.18967665330108435,6.996602799236941
0.1,3800.0,1.0,0.11173644643535012,0.01979999999757149,0.0099,9.585712641929645,4.399168769681302,8.31667308634835,-2.9694785901959717,-5.502337295250119,0.18964635057191187,7.002337295250119
0.1,3800.0,1.0,0.11173640025273826,0.01979999999756676,0.0099,9.58529698873136,4.399584381468582,8.31667308634835,-2.969585406251471,-5.502594758651588,0.18964356938827437,7.002594758651588
0.1,3800.0,1.0,0.11173637716145596,0.019799999997564398,0.0099,9.585089162344811,4.399792187149648,8.31667308634835,-2.96963880320582,-5.502723463702539,0.18964217901435368,7.002723463702539
0.1,3800.0,1.0,0.11173639206261715,0.019799999997564398,0.0099,9.585089162344811,4.399792187149648,8.31667308634835,-2.9696394097159238,-5.502724943022005,0.1896421332409485,7.002724943022005
0.1,3800.0,1.0,0.11173637716145596,0.019799985096403204,0.0099,9.585089162344811,4.399792187149648,8.31667308634835,-2.9696380886245026,-5.502721734525368,0.1896422093062446,7.002721734525368
0.1,3800.0,1.0,0.11173637716145596,0.019799999997564398,0.009899985098838807,9.585089162344811,4.399792187149648,8.31667308634835,-2.9696375199324097,-5.502720350384109,0.18964224717026315,7.002720350384109
0.1,3800.0,1.0,0.11173637716145596,0.019799999997564398,0.0099,9.585089177245973,4.399792187149648,8.31667308634835,-2.96963880999974,-5.50272348005376,0.18964217887955656,7.00272348005376
0.1,3800.0,1.0,0.11173637716145596,0.019799999997564398,0.0099,9.585089162344811,4.39979220205081,8.31667308634835,-2.969638813896717,-5.502723489448759,0.18964217877474007,7.002723489448759
0.1,3800.0,1.0,0.11173637716145596,0.019799999997564398,0.0099,9.585089162344811,4.399792187149648,8.31667308634835,-2.9696388032034218,-5.502723463696656,0.18964217901459263,7.002723463696656
0.1,3800.0,1.0,0.11173639206261715,0.019799999997564398,0.0099,9.585089162344811,4.399792187149648,8.31667308634835,-2.9696394097159238,-5.502724943022005,0.1896421332409485,7.002724943022005
0.1,3800.0,1.0,0.11173637716145596,0.019799985096403204,0.0099,9.585089162344811,4.399792187149648,8.31667308634835,-2.9696380886245026,-5.502721734525368,0.1896422093062446,7.002721734525368
0.1,3800.0,1.0,0.11173637716145596,0.019799999997564398,0.009899985098838807,9.585089162344811,4.399792187149648,8.31667308634835,-2.9696375199324097,-5.502720350384109,0.18964224717026315,7.002720350384109
0.1,3800.0,1.0,0.11173637716145596,0.019799999997564398,0.0099,9.585089177245973,4.399792187149648,8.31667308634835,-2.96963880999974,-5.50272348005376,0.18964217887955656,7.00272348005376
0.1,3800.0,1.0,0.11173637716145596,0.019799999997564398,0.0099,9.585089162344811,4.39979220205081,8.31667308634835,-2.969638813896717,-5.502723489448759,0.18964217877474007,7.002723489448759
