Lambda,Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,WeightedObj,ConstraintG,Flight Time [hr],Thrust to Weight
0.1,3800,1,0.103522713,0.018418728,0.008897986,10,4.000113899,8.316673086,-2.480478551,-4.306326951,0.232240555,5.806326951
0.1,3800,1,0.103522713,0.018418714,0.008898001,10,4.000113899,8.316673086,-2.480479063,-4.30632821,0.232240498,5.80632821
0.1,3800,1,0.103522713,0.018418714,0.008897986,10.00000001,4.000113899,8.316673086,-2.480477825,-4.306325182,0.232240606,5.806325182
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480601936,-4.306633193,0.232222127,5.806633193
0.1,3800,1,0.103522728,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480544754,-4.306491271,0.23223066,5.806491271
0.1,3800,1,0.103522713,0.018418728,0.008897986,10,4.000113899,8.316673086,-2.480544856,-4.306491504,0.232230682,5.806491504
0.1,3800,1,0.103522713,0.018418714,0.008898001,10,4.000113899,8.316673086,-2.480545369,-4.306492764,0.232230626,5.806492764
0.1,3800,1,0.103522713,0.018418714,0.008897986,10.00000001,4.000113899,8.316673086,-2.48054413,-4.306489735,0.232230734,5.806489735
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113914,8.316673086,-2.480544134,-4.306489743,0.232230734,5.806489743
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480544124,-4.30648972,0.232230734,5.80648972
0.1,3800,1,0.103522728,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480544754,-4.306491271,0.23223066,5.806491271
0.1,3800,1,0.103522713,0.018418728,0.008897986,10,4.000113899,8.316673086,-2.480544856,-4.306491504,0.232230682,5.806491504
0.1,3800,1,0.103522713,0.018418714,0.008898001,10,4.000113899,8.316673086,-2.480545369,-4.306492764,0.232230626,5.806492764
0.1,3800,1,0.103522713,0.018418714,0.008897986,10.00000001,4.000113899,8.316673086,-2.48054413,-4.306489735,0.232230734,5.806489735
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113914,8.316673086,-2.480544134,-4.306489743,0.232230734,5.806489743
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480544124,-4.30648972,0.232230734,5.80648972
0.1,3800,1,0.11176,0.0198,0.0099,5.403584605,3.366411077,8.316673086,-1.965364471,-3.069215561,0.237924672,4.569215561
0.1,3800,1,0.107641252,0.019109339,0.00939898,7.701850782,3.68327055,8.316673086,-2.289852646,-3.848609781,0.234180616,5.348609781
0.1,3800,1,0.105581944,0.01876402,0.009148478,8.850947041,3.84169521,8.316673086,-2.369187854,-4.03882446,0.233853851,5.53882446
0.1,3800,1,0.104552306,0.018591363,0.009023229,9.425486166,3.920906298,8.316673086,-2.444259485,-4.219595916,0.23220376,5.719595916
0.1,3800,1,0.104037502,0.018505037,0.008960607,9.712747208,3.960510667,8.316673086,-2.467273055,-4.274756901,0.232137404,5.774756901
0.1,3800,1,0.103780105,0.018461875,0.008929296,9.856375117,3.980312492,8.316673086,-2.478652357,-4.302071603,0.232036146,5.802071603
0.1,3800,1,0.103651409,0.018440294,0.008913641,9.92818778,3.990213226,8.316673086,-2.484435194,-4.315921398,0.232038447,5.815921398
0.1,3800,1,0.103587062,0.018429504,0.008905813,9.964093455,3.995163502,8.316673086,-2.475745029,-4.294951211,0.232305849,5.794951211
0.1,3800,1,0.103554887,0.018424109,0.0089019,9.982047279,3.997638777,8.316673086,-2.482778669,-4.311864741,0.232191484,5.811864741
0.1,3800,1,0.103538801,0.018421411,0.008899943,9.991023392,3.998876304,8.316673086,-2.477045038,-4.298075596,0.232287635,5.798075596
0.1,3800,1,0.103530756,0.018420062,0.008898964,9.9955121,3.999495157,8.316673086,-2.478796997,-4.302288499,0.232259089,5.802288499
0.1,3800,1,0.103530771,0.018420062,0.008898964,9.9955121,3.999495157,8.316673086,-2.478797625,-4.302290047,0.232259015,5.802290047
0.1,3800,1,0.103530756,0.018420077,0.008898964,9.9955121,3.999495157,8.316673086,-2.478797727,-4.302290279,0.232259037,5.802290279
0.1,3800,1,0.103530756,0.018420062,0.008898979,9.9955121,3.999495157,8.316673086,-2.47879824,-4.302291539,0.232258981,5.802291539
0.1,3800,1,0.103530756,0.018420062,0.008898964,9.995512115,3.999495157,8.316673086,-2.478797002,-4.302288512,0.232259089,5.802288512
0.1,3800,1,0.103530756,0.018420062,0.008898964,9.9955121,3.999495172,8.316673086,-2.478797006,-4.302288521,0.232259089,5.802288521
0.1,3800,1,0.103530756,0.018420062,0.008898964,9.9955121,3.999495157,8.316673086,-2.478796996,-4.302288497,0.232259089,5.802288497
0.1,3800,1,0.103530771,0.018420062,0.008898964,9.9955121,3.999495157,8.316673086,-2.478797625,-4.302290047,0.232259015,5.802290047
