Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s],1.5,
RG-15_8_DOE,3600,0.1016,1,0.018,0.009,10,4,1.2164,0.216954198,2.516551351,19.14882207,0.216954198,
RG-15_8_DOE,3600,0.1016,1,0.018,0.009,6,1,1.2164,0.318704433,1.059920965,17.15574312,0,
RG-15_8_DOE,3600,0.1016,2,0.008,0.004,10,4,1.3964,0.529278606,2.091079263,17.21481466,0.529278606,
RG-15_8_DOE,3600,0.1016,2,0.008,0.004,6,1,1.3964,0.954652336,0.902271215,17.07428145,0,
RG-15_8_DOE,3600,0.1016,2,0.018,0.009,10,4,1.3964,0.34751893,2.541862729,19.29664326,0.34751893,
RG-15_8_DOE,3600,0.1016,2,0.018,0.009,6,1,1.3964,0.553187501,1.014776842,17.97753906,0,
RG-15_8_DOE,3800,0.0762,1,0.008,0.004,10,4,1.1726,0.91643174,0.742608029,12.9493413,0,
RG-15_8_DOE,3800,0.0762,1,0.008,0.004,6,1,1.1726,1.903407646,0.286837834,12.80648351,0,
RG-15_8_DOE,3800,0.0762,1,0.018,0.009,10,4,1.1726,0.552657694,0.938352811,12.82132268,0,
RG-15_8_DOE,3800,0.0762,1,0.018,0.009,6,1,1.1726,1.014317654,0.317388835,12.9040761,0,
RG-15_8_DOE,3800,0.0762,2,0.008,0.004,10,4,1.3076,1.749662863,0.686886712,12.77359629,0,
RG-15_8_DOE,3800,0.0762,2,0.008,0.004,6,1,1.3076,3.724045669,0.261021301,12.73721576,0,
RG-15_8_DOE,3800,0.0762,2,0.018,0.009,10,4,1.3076,1.023244836,0.88588818,12.76453328,0,
RG-15_8_DOE,3800,0.0762,2,0.018,0.009,6,1,1.3076,1.945527433,0.29266966,12.80896401,0,
RG-15_8_DOE,3800,0.1016,1,0.008,0.004,10,4,1.1726,0.380075573,1.614832733,19.20817614,0.380075573,
RG-15_8_DOE,3800,0.1016,1,0.008,0.004,6,1,1.1726,0.700856394,0.686586665,17.04622936,0,
RG-15_8_DOE,3800,0.1016,1,0.018,0.009,10,4,1.1726,0.242076685,2.003164235,19.38813615,0.242076685,
RG-15_8_DOE,3800,0.1016,1,0.018,0.009,6,1,1.1726,0.398232936,0.782362691,18.98569131,0,
RG-15_8_DOE,3800,0.1016,2,0.008,0.004,10,4,1.3076,0.676933697,1.5644862,17.05512905,0.676933697,
RG-15_8_DOE,3800,0.1016,2,0.008,0.004,6,1,1.3076,1.320600974,0.640661496,17.09021521,0,
RG-15_8_DOE,3800,0.1016,2,0.018,0.009,10,4,1.3076,0.400175655,2.039606553,19.16857624,0.400175655,
RG-15_8_DOE,3800,0.1016,2,0.018,0.009,6,1,1.3076,0.713168471,0.755207802,16.9926722,0,
SD7037_DOE,2300,0.0762,1,0.008,0.004,10,4,1.3064,0.93265928,1.053968542,13.07899809,0,
SD7037_DOE,2300,0.0762,1,0.008,0.004,6,1,1.3064,1.669373463,0.55554239,12.89131165,0,
SD7037_DOE,2300,0.0762,1,0.018,0.009,10,4,1.3064,0.54838167,1.393582394,12.88098526,0,
SD7037_DOE,2300,0.0762,1,0.018,0.009,6,1,1.3064,0.905769947,0.707543623,12.8650279,0,
SD7037_DOE,2300,0.0762,2,0.008,0.004,10,4,1.5764,1.782544553,0.900283187,12.86432791,0,
SD7037_DOE,2300,0.0762,2,0.008,0.004,6,1,1.5764,3.256157408,0.468143526,12.96487927,0,
SD7037_DOE,2300,0.0762,2,0.018,0.009,10,4,1.5764,1.013392348,1.217398045,12.90298009,0,
SD7037_DOE,2300,0.0762,2,0.018,0.009,6,1,1.5764,1.728748969,0.604932539,12.9031384,0,
SD7037_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.402452895,2.230584852,17.04843521,0.402452895,
SD7037_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.647454789,1.268865476,17.03389764,0,
SD7037_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.263681564,2.779154005,19.37527895,0.263681564,
SD7037_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.381478133,1.585340443,17.1156342,0.381478133,
SD7037_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.72201873,1.98743478,17.19557738,0.72201873,
SD7037_DOE,2300,0.1016,2,0.008,0.004,6,1,1.5764,1.211813245,1.099076256,17.27895713,0,
SD7037_DOE,2300,0.1016,2,0.018,0.009,10,4,1.5764,0.44231243,2.589660133,19.22207737,0.44231243,
SD7037_DOE,2300,0.1016,2,0.018,0.009,6,1,1.5764,0.679008854,1.419978457,16.85133481,0,
SD7037_DOE,3600,0.0762,1,0.008,0.004,10,4,1.2164,0.592884596,1.168427586,12.72302079,0,
SD7037_DOE,3600,0.0762,1,0.008,0.004,6,1,1.2164,1.024994552,0.630295331,12.86701202,0,
SD7037_DOE,3600,0.0762,1,0.018,0.009,10,4,1.2164,0.367422376,1.491705614,12.85399127,0,
SD7037_DOE,3600,0.0762,1,0.018,0.009,6,1,1.2164,0.577122555,0.783174817,12.81425166,0,
SD7037_DOE,3600,0.0762,2,0.008,0.004,10,4,1.3964,1.102781134,1.06825663,13.02324414,0,
SD7037_DOE,3600,0.0762,2,0.008,0.004,6,1,1.3964,1.967347138,0.564318599,12.91289377,0,
SD7037_DOE,3600,0.0762,2,0.018,0.009,10,4,1.3964,0.651788298,1.407588536,12.89566493,0,
SD7037_DOE,3600,0.0762,2,0.018,0.009,6,1,1.3964,1.071224602,0.717029388,12.96710205,0,
SD7037_DOE,3600,0.1016,1,0.008,0.004,10,4,1.2164,0.282526402,2.314523956,19.14759922,0.282526402,
SD7037_DOE,3600,0.1016,1,0.008,0.004,6,1,1.2164,0.425221241,1.376419553,16.99975657,0,
SD7037_DOE,3600,0.1016,1,0.018,0.009,10,4,1.2164,0.202744557,2.713971253,19.22495389,0.202744557,
SD7037_DOE,3600,0.1016,1,0.018,0.009,6,1,1.2164,0.270341748,1.634678987,19.32630873,0.270341748,
SD7037_DOE,3600,0.1016,2,0.008,0.004,10,4,1.3964,0.480655811,2.245767592,17.02694678,0.480655811,
SD7037_DOE,3600,0.1016,2,0.008,0.004,6,1,1.3964,0.768066306,1.283260697,17.05636024,0,
SD7037_DOE,3600,0.1016,2,0.018,0.009,10,4,1.3964,0.318117444,2.779284194,19.47618461,0.318117444,
SD7037_DOE,3600,0.1016,2,0.018,0.009,6,1,1.3964,0.45614292,1.594876902,17.04819822,0.45614292,
SD7037_DOE,3800,0.0762,1,0.008,0.004,10,4,1.1726,0.813939844,0.810005072,12.82571292,0,
SD7037_DOE,3800,0.0762,1,0.008,0.004,6,1,1.1726,1.467161569,0.424952639,12.79322553,0,
